"","armortype","ENPC","SD","Run","flexible","Delay","Scenario","group","bin","M","EE","uncert","designcost","armor2per","armor3per","LSCOOption","CRLCOOption","MESCDOption","TotalProb","Armor","LSCOOptionText","CRLCOOptionText","MESCDOptionText","TENPC","select","tag"
"69",1,4.03271407268582,0.327140726858181,136,1,3,"3 Month Delay",45,12,100,0.25,1,1,0.25,0.5,0.1,0,0.9,1,"Standard","LSCO =  0.1","CRLCO =  0","MESCD =  0.9",4032.71407268582,"min","LSCO =  0.1   CRLCO =  0   MESCD =  0.9"
"70",1,4.03271407268582,0.327140726858181,198,1,6,"6 Month Delay",45,12,100,0.25,1,1,0.25,0.5,0.1,0,0.9,1,"Standard","LSCO =  0.1","CRLCO =  0","MESCD =  0.9",4032.71407268582,"min","LSCO =  0.1   CRLCO =  0   MESCD =  0.9"
"71",1,4.03271407268582,0.327140726858181,260,1,9,"9 Month Delay",45,12,100,0.25,1,1,0.25,0.5,0.1,0,0.9,1,"Standard","LSCO =  0.1","CRLCO =  0","MESCD =  0.9",4032.71407268582,"min","LSCO =  0.1   CRLCO =  0   MESCD =  0.9"
"72",1,4.03271407268582,0.327140726858181,322,1,12,"12 Month Delay",45,12,100,0.25,1,1,0.25,0.5,0.1,0,0.9,1,"Standard","LSCO =  0.1","CRLCO =  0","MESCD =  0.9",4032.71407268582,"min","LSCO =  0.1   CRLCO =  0   MESCD =  0.9"
"73",1,4.03271407268582,0.327140726858181,13,0,0,"Uncertainty",49,13,100,0.25,1,1,0.25,0.5,0.1,0.1,0.8,1,"Standard","LSCO =  0.1","CRLCO =  0.1","MESCD =  0.8",4032.71407268582,"min","LSCO =  0.1   CRLCO =  0.1   MESCD =  0.8"
"74",1,4.03271407268582,0.327140726858181,75,1,0,"Flexibility",49,13,100,0.25,1,1,0.25,0.5,0.1,0.1,0.8,1,"Standard","LSCO =  0.1","CRLCO =  0.1","MESCD =  0.8",4032.71407268582,"min","LSCO =  0.1   CRLCO =  0.1   MESCD =  0.8"
"75",1,4.03271407268582,0.327140726858181,137,1,3,"3 Month Delay",49,13,100,0.25,1,1,0.25,0.5,0.1,0.1,0.8,1,"Standard","LSCO =  0.1","CRLCO =  0.1","MESCD =  0.8",4032.71407268582,"min","LSCO =  0.1   CRLCO =  0.1   MESCD =  0.8"
"76",1,4.03271407268582,0.327140726858181,199,1,6,"6 Month Delay",49,13,100,0.25,1,1,0.25,0.5,0.1,0.1,0.8,1,"Standard","LSCO =  0.1","CRLCO =  0.1","MESCD =  0.8",4032.71407268582,"min","LSCO =  0.1   CRLCO =  0.1   MESCD =  0.8"
"77",1,4.03271407268582,0.327140726858181,261,1,9,"9 Month Delay",49,13,100,0.25,1,1,0.25,0.5,0.1,0.1,0.8,1,"Standard","LSCO =  0.1","CRLCO =  0.1","MESCD =  0.8",4032.71407268582,"min","LSCO =  0.1   CRLCO =  0.1   MESCD =  0.8"
"78",1,4.03271407268582,0.327140726858181,323,1,12,"12 Month Delay",49,13,100,0.25,1,1,0.25,0.5,0.1,0.1,0.8,1,"Standard","LSCO =  0.1","CRLCO =  0.1","MESCD =  0.8",4032.71407268582,"min","LSCO =  0.1   CRLCO =  0.1   MESCD =  0.8"
"79",1,4.21379622325114,1.2570610177143,14,0,0,"Uncertainty",53,14,100,0.25,1,1,0.25,0.5,0.1,0.2,0.7,1,"Standard","LSCO =  0.1","CRLCO =  0.2","MESCD =  0.7",4213.79622325114,"min","LSCO =  0.1   CRLCO =  0.2   MESCD =  0.7"
"80",1,4.21379622325114,1.2570610177143,76,1,0,"Flexibility",53,14,100,0.25,1,1,0.25,0.5,0.1,0.2,0.7,1,"Standard","LSCO =  0.1","CRLCO =  0.2","MESCD =  0.7",4213.79622325114,"min","LSCO =  0.1   CRLCO =  0.2   MESCD =  0.7"
"81",1,4.21379622325114,1.2570610177143,138,1,3,"3 Month Delay",53,14,100,0.25,1,1,0.25,0.5,0.1,0.2,0.7,1,"Standard","LSCO =  0.1","CRLCO =  0.2","MESCD =  0.7",4213.79622325114,"min","LSCO =  0.1   CRLCO =  0.2   MESCD =  0.7"
"82",1,4.21379622325114,1.2570610177143,200,1,6,"6 Month Delay",53,14,100,0.25,1,1,0.25,0.5,0.1,0.2,0.7,1,"Standard","LSCO =  0.1","CRLCO =  0.2","MESCD =  0.7",4213.79622325114,"min","LSCO =  0.1   CRLCO =  0.2   MESCD =  0.7"
"83",1,4.21379622325114,1.2570610177143,262,1,9,"9 Month Delay",53,14,100,0.25,1,1,0.25,0.5,0.1,0.2,0.7,1,"Standard","LSCO =  0.1","CRLCO =  0.2","MESCD =  0.7",4213.79622325114,"min","LSCO =  0.1   CRLCO =  0.2   MESCD =  0.7"
"84",1,4.21379622325114,1.2570610177143,324,1,12,"12 Month Delay",53,14,100,0.25,1,1,0.25,0.5,0.1,0.2,0.7,1,"Standard","LSCO =  0.1","CRLCO =  0.2","MESCD =  0.7",4213.79622325114,"min","LSCO =  0.1   CRLCO =  0.2   MESCD =  0.7"
"85",1,4.35989985824662,1.42738185748383,15,0,0,"Uncertainty",57,15,100,0.25,1,1,0.25,0.5,0.1,0.3,0.6,1,"Standard","LSCO =  0.1","CRLCO =  0.3","MESCD =  0.6",4359.89985824662,"min","LSCO =  0.1   CRLCO =  0.3   MESCD =  0.6"
"86",1,4.35989985824662,1.42738185748383,77,1,0,"Flexibility",57,15,100,0.25,1,1,0.25,0.5,0.1,0.3,0.6,1,"Standard","LSCO =  0.1","CRLCO =  0.3","MESCD =  0.6",4359.89985824662,"min","LSCO =  0.1   CRLCO =  0.3   MESCD =  0.6"
"87",1,4.35989985824662,1.42738185748383,139,1,3,"3 Month Delay",57,15,100,0.25,1,1,0.25,0.5,0.1,0.3,0.6,1,"Standard","LSCO =  0.1","CRLCO =  0.3","MESCD =  0.6",4359.89985824662,"min","LSCO =  0.1   CRLCO =  0.3   MESCD =  0.6"
"88",1,4.35989985824662,1.42738185748383,201,1,6,"6 Month Delay",57,15,100,0.25,1,1,0.25,0.5,0.1,0.3,0.6,1,"Standard","LSCO =  0.1","CRLCO =  0.3","MESCD =  0.6",4359.89985824662,"min","LSCO =  0.1   CRLCO =  0.3   MESCD =  0.6"
"89",1,4.35989985824662,1.42738185748383,263,1,9,"9 Month Delay",57,15,100,0.25,1,1,0.25,0.5,0.1,0.3,0.6,1,"Standard","LSCO =  0.1","CRLCO =  0.3","MESCD =  0.6",4359.89985824662,"min","LSCO =  0.1   CRLCO =  0.3   MESCD =  0.6"
"90",1,4.35989985824662,1.42738185748383,325,1,12,"12 Month Delay",57,15,100,0.25,1,1,0.25,0.5,0.1,0.3,0.6,1,"Standard","LSCO =  0.1","CRLCO =  0.3","MESCD =  0.6",4359.89985824662,"min","LSCO =  0.1   CRLCO =  0.3   MESCD =  0.6"
"91",1,4.46381098588265,1.5983223128103,16,0,0,"Uncertainty",61,16,100,0.25,1,1,0.25,0.5,0.1,0.4,0.5,1,"Standard","LSCO =  0.1","CRLCO =  0.4","MESCD =  0.5",4463.81098588265,"min","LSCO =  0.1   CRLCO =  0.4   MESCD =  0.5"
"92",1,4.46381098588265,1.5983223128103,78,1,0,"Flexibility",61,16,100,0.25,1,1,0.25,0.5,0.1,0.4,0.5,1,"Standard","LSCO =  0.1","CRLCO =  0.4","MESCD =  0.5",4463.81098588265,"min","LSCO =  0.1   CRLCO =  0.4   MESCD =  0.5"
"93",1,4.46381098588265,1.5983223128103,140,1,3,"3 Month Delay",61,16,100,0.25,1,1,0.25,0.5,0.1,0.4,0.5,1,"Standard","LSCO =  0.1","CRLCO =  0.4","MESCD =  0.5",4463.81098588265,"min","LSCO =  0.1   CRLCO =  0.4   MESCD =  0.5"
